Threads,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Average
1,0.0001249170018127188,8.804200115264393e-05,6.299999949987978e-05,7.550000009359792e-05,6.225000106496736e-05,8.274180072476156e-05
2,0.00012549999883049168,0.0001352500003122259,0.00011016600183211267,0.00011879200246767141,0.00010191700130235404,0.00011832500094897114
4,0.00021212499996181577,0.00017979200129047967,0.00017779200061340816,0.0001867909995780792,0.00017291699987254106,0.00018588340026326478
8,0.0003595420021156315,0.00036787499993806705,0.00034958299875142984,0.0003283750011178199,0.00032379099866375327,0.0003458332001173403
16,0.0007376249996013939,0.000692584002536023,0.0006944589986233041,0.0007155840030463878,0.0007722500013187528,0.0007225004010251723
32,0.0019478329995763488,0.001505749998614192,0.0013487500000337604,0.001311707997956546,0.001537207997898804,0.0015302497988159303
64,0.0033620840004005004,0.0032581250015937258,0.0028595000003406312,0.0027708749985322356,0.002609416998893721,0.0029720001999521627
