Threads,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Average Time,Calculated Pi,Speedup,Efficiency
1,0.09647762500026147,0.09541362500021933,0.09525600000051782,0.09580441700018127,0.09555624999848078,0.09570158339993214,3.1415926535904264,1.0,1.0
2,0.04969925000114017,0.049383290999685414,0.04933966599855921,0.05039954099993338,0.04960716599816806,0.049685782799497244,3.14159265358991,1.926136170303037,0.9630680851515185
4,0.02652358400155208,0.0264635419989645,0.026775999998790212,0.025596957999368897,0.02597316700121155,0.026266650199977447,3.1415926535896825,3.6434635810551246,0.9108658952637811
8,0.027617957999609644,0.026889167002082104,0.02920487499795854,0.026445208000950515,0.027080291998572648,0.02744749999983469,3.141592653589815,3.486714032261901,0.4358392540327376
16,0.02639587500016205,0.02685429199846112,0.026346791000833036,0.034053167000820395,0.04082229199775611,0.030894483399606543,3.1415926535898824,3.0976916545932904,0.19360572841208065
