Threads,Calculated Pi,Absolute Error,Time (s)
1,3.141592653589587,2.0605739337042905e-13,0.004907667000225047
2,1.8545904360032308,1.2870022175865623,0.0028162079979665577
4,0.87467578349574,2.266916870094053,0.002114040999003919
8,0.6460794804743083,2.495513173115485,0.0018746669993561227
